rank	gene	tier	automatic_audit_flags	tme_contamination_risk	risk_interpretation	max_risk_organ	accessibility_class	hpa_evidence_status	discordance_flags	missing_primary_score_components	isoform_resolution_status	principal_caveat
1	ITGB4	Tier 1	high_normal_risk	low_uncorrected_tme_correlation	high_critical_off_tumor_risk	hematopoietic	A	stomach_cancer_ihc_available	CPTAC_not_assessed		multiple_uniprot_isoforms_mapped_not_resolved	CAVEAT: basal/stratified epithelial (skin keratinocyte/hemidesmosome) normal expression; skin not in organ-risk model so R may under-weight it; preclinical agents only
2	HLA-DRB3	Watchlist	protein_missing;thin_evidence_missing_3plus	not_assessable_missing_bulk_expression	missing_normal_expression		A	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed	E;N;R;P	not_isoform_critical_or_single_canonical_mapping	thin-evidence renormalization artifact; immune MHC-II gene
3	HLA-DRB4	Watchlist	protein_missing;thin_evidence_missing_3plus	not_assessable_missing_bulk_expression	missing_normal_expression		A	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed	E;N;R;P	not_isoform_critical_or_single_canonical_mapping	thin-evidence; immune MHC-II gene
4	KIR2DL5A	Watchlist	protein_missing;thin_evidence_missing_3plus	not_assessable_missing_bulk_expression	missing_normal_expression		A	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed	E;N;R;P	not_isoform_critical_or_single_canonical_mapping	thin-evidence; immune NK receptor
5	KIR2DS1	Watchlist	protein_missing;thin_evidence_missing_3plus	not_assessable_missing_bulk_expression	missing_normal_expression		A	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed	E;N;R;P	not_isoform_critical_or_single_canonical_mapping	thin-evidence; immune NK receptor
6	CDH3	Tier 1	none	low_uncorrected_tme_correlation	moderate_off_tumor_risk	immune	A	stomach_cancer_ihc_available	CPTAC_not_assessed		multiple_uniprot_isoforms_mapped_not_resolved	established TAA; confirm membranous tumor IHC in pass 2
7	MPZL1	Tier 2	high_TME_flag;high_normal_risk	high_purity_adjusted_tme_correlation	high_critical_off_tumor_risk	endothelial	A	stomach_cancer_ihc_available	CPTAC_not_assessed		multiple_uniprot_isoforms_mapped_not_resolved	needs cell-resolution to confirm tumor-epithelial origin
8	ITGB5	Tier 2	high_TME_flag;high_normal_risk	high_purity_adjusted_tme_correlation	high_critical_off_tumor_risk	endothelial	A	stomach_cancer_ihc_available	CPTAC_not_assessed		not_isoform_critical_or_single_canonical_mapping	high TME + broad expression
9	NECTIN2	Tier 1	high_normal_risk	low_uncorrected_tme_correlation	high_critical_off_tumor_risk	liver	A	stomach_cancer_ihc_available	CPTAC_not_assessed		multiple_uniprot_isoforms_mapped_not_resolved	CAVEAT: purity-adjusted myeloid/DC partial 0.32 p<0.001 + LAMP3+ DC checkpoint literature; closest-to-threshold Tier 1 member; single-cell confirmation needed (user-confirmed Tier 1 2026-05-31)
10	BST2	Tier 2	high_normal_risk	watchlist_uncorrected_tme_correlation	high_critical_off_tumor_risk	hematopoietic	A	stomach_cancer_ihc_available	protein_present_no_membrane;CPTAC_not_assessed		not_isoform_critical_or_single_canonical_mapping	membrane localization discordance; hematopoietic risk
11	IFNGR1	Tier 2	high_TME_flag;high_normal_risk	high_purity_adjusted_tme_correlation	high_critical_off_tumor_risk	lung	A	stomach_cancer_ihc_available	CPTAC_not_assessed		not_isoform_critical_or_single_canonical_mapping	ubiquitous cytokine receptor, no tumor selectivity
12	CEACAM5	Tier 1	high_normal_risk	low_uncorrected_tme_correlation	high_critical_off_tumor_risk	lung	A	stomach_cancer_ihc_available	CPTAC_not_assessed		multiple_uniprot_isoforms_mapped_not_resolved	apical/normal GI epithelial expression; specificity review
13	JAG1	Tier 1	high_normal_risk	low_uncorrected_tme_correlation	high_critical_off_tumor_risk	endothelial	A	stomach_cancer_ihc_available	CPTAC_not_assessed		not_isoform_critical_or_single_canonical_mapping	CAVEAT: dual tumor-epithelial + endothelial/vascular (angiocrine) expression; most compartment-exposed Tier 1 member; surface-targetable (neutralizing mAbs) but needs single-cell resolution
14	EPCAM	Tier 1	high_normal_risk	low_uncorrected_tme_correlation	high_critical_off_tumor_risk	kidney	A	stomach_cancer_ihc_available	CPTAC_not_assessed		not_isoform_critical_or_single_canonical_mapping	high normal epithelial expression (preregistered normal-expression penalty)
15	PECAM1	Watchlist	high_TME_flag;high_normal_risk	high_known_tme_marker_control	high_critical_off_tumor_risk	lung	A	stomach_cancer_ihc_available	CPTAC_not_assessed		not_isoform_critical_or_single_canonical_mapping	endothelial marker; vascular not tumor-epithelial staining (HPA-confirmed)
16	ALPG	Tier 2	none	low_uncorrected_tme_correlation	lower_risk_by_current_normal_expression	brain	A	stomach_cancer_ihc_available	CPTAC_not_assessed		not_isoform_critical_or_single_canonical_mapping	excellent normal-tissue window but ranking is single-layer dependent
17	IL2RG	Watchlist	high_normal_risk	moderate_residual_tme_correlation	high_critical_off_tumor_risk	hematopoietic	A	stomach_cancer_ihc_available	RNA_high_protein_absent;CPTAC_not_assessed		not_isoform_critical_or_single_canonical_mapping	common gamma chain; not an epithelial tumor target
18	DSC2	Tier 2	none	low_uncorrected_tme_correlation	moderate_off_tumor_risk	immune	A	stomach_cancer_ihc_available	CPTAC_not_assessed		multiple_uniprot_isoforms_mapped_not_resolved	literature reports DOWNregulation in tumor (poor window)
19	TNFRSF11A	Tier 2	none	low_uncorrected_tme_correlation	moderate_off_tumor_risk	gi_epithelial	A	stomach_cancer_ihc_available	CPTAC_not_assessed		multiple_uniprot_isoforms_mapped_not_resolved	weak gastric-specific antibody rationale (denosumab targets ligand)
20	ERBB2	Tier 2	high_TME_flag;high_normal_risk	high_purity_adjusted_tme_correlation	high_critical_off_tumor_risk	kidney	A	stomach_cancer_ihc_available	CPTAC_not_assessed		multiple_uniprot_isoforms_mapped_not_resolved	established HER2 benchmark; NOT forced to Tier 1; robust top50, heterogeneity-consistent
21	HLA-A	Watchlist	high_normal_risk;protein_missing	low_uncorrected_tme_correlation	high_critical_off_tumor_risk	lung	A	missing_stomach_cancer_ihc	HPA_missing;CPTAC_not_assessed	P	not_isoform_critical_or_single_canonical_mapping	MHC class I, ubiquitous; protein_missing
22	LRRC15	Watchlist	high_TME_flag	high_purity_adjusted_tme_correlation	lower_risk_by_current_normal_expression	lung	A	stomach_cancer_ihc_available	CPTAC_not_assessed		multiple_uniprot_isoforms_mapped_not_resolved	ABBV-085 targets it on stroma; second bulk/TME compartment FP (cf PECAM1)
23	HLA-DPB1	Watchlist	high_TME_flag;high_normal_risk	high_purity_adjusted_tme_correlation	high_critical_off_tumor_risk	lung	A	stomach_cancer_ihc_available	CPTAC_not_assessed		not_isoform_critical_or_single_canonical_mapping	MHC class II/immune; ubiquitous
24	BTN3A3	Watchlist	high_TME_flag;high_normal_risk	high_purity_adjusted_tme_correlation	high_critical_off_tumor_risk	lung	A	stomach_cancer_ihc_available	CPTAC_not_assessed		multiple_uniprot_isoforms_mapped_not_resolved	immune compartment, not epithelial target
25	CD9	Tier 2	high_normal_risk	low_uncorrected_tme_correlation	high_critical_off_tumor_risk	endothelial	C	stomach_cancer_ihc_available	CPTAC_not_assessed		not_isoform_critical_or_single_canonical_mapping	short extracellular loops limit antibody access
26	LSR	Tier 2	high_TME_flag;high_normal_risk	high_purity_adjusted_tme_correlation	high_critical_off_tumor_risk	liver	A	stomach_cancer_ihc_available	CPTAC_not_assessed		multiple_uniprot_isoforms_mapped_not_resolved	favorable literature window; tight-junction accessibility caveat
27	ULBP2	Watchlist	none	low_uncorrected_tme_correlation	moderate_off_tumor_risk	gi_epithelial	A	stomach_cancer_ihc_available	CPTAC_not_assessed		not_isoform_critical_or_single_canonical_mapping	stress-induced immune ligand, sheds
28	CDH17	Tier 2	high_normal_risk	low_uncorrected_tme_correlation	high_critical_off_tumor_risk	hematopoietic	A	stomach_cancer_ihc_available	CPTAC_not_assessed		not_isoform_critical_or_single_canonical_mapping	GI-restricted surface-antigen program with clinical-stage CAR-T/ADC context; bulk ranking conservative
29	CD47	Watchlist	high_normal_risk	low_uncorrected_tme_correlation	high_critical_off_tumor_risk	lung	B	stomach_cancer_ihc_available	CPTAC_not_assessed		multiple_uniprot_isoforms_mapped_not_resolved	RBC/platelet toxicity; multiple anti-CD47 drugs terminated
30	TGFBR1	Tier 2	high_TME_flag;high_normal_risk	high_purity_adjusted_tme_correlation	high_critical_off_tumor_risk	endothelial	B	stomach_cancer_ihc_available	CPTAC_not_assessed		multiple_uniprot_isoforms_mapped_not_resolved	ubiquitous signaling receptor, no tumor selectivity
