source_id	source_name	role	phase	status	version_or_release	access_date	url	endpoint_or_file	local_raw_dir	exact_files_or_queries	license_or_terms	checksum_manifest	notes
xena_toil_tcga_gtex	UCSC Xena / Toil RNA-seq recompute	Primary TCGA-STAD vs GTEx stomach RNA matrix	Fase 2 download; Fase 1 metadata complete	metadata_verified_no_matrix_downloaded	Toil recompute; matrix Last-Modified Fri, 09 Apr 2021 20:01:53 GMT	2026-05-28	https://toil.xenahubs.net	TcgaTargetGtex_rsem_gene_tpm.gz; TcgaTargetGTEX_phenotype.txt.gz	data/raw/xena_toil	https://toil.xenahubs.net/download/TcgaTargetGtex_rsem_gene_tpm.gz; https://toil.xenahubs.net/download/TcgaTargetGTEX_phenotype.txt.gz	UCSC Xena public hub terms; verify at Fase 2 download	data/checksums/xena_toil_sha256.tsv	Expression unit to register as log2(TPM+0.001); phenotype counted without downloading matrix.
gdc_tcga_stad	GDC TCGA-STAD API	TCGA clinical, biospecimen, STAR-count RNA-seq sensitivity	Fase 1 metadata complete; Fase 2 selected downloads	metadata_verified_no_raw_downloaded	GDC API live query	2026-05-28	https://api.gdc.cancer.gov	/cases and /files	data/raw/gdc_tcga_stad	project.project_id=TCGA-STAD; RNA-Seq Gene Expression Quantification; STAR - Counts	GDC data use terms; open-access metadata queried	data/checksums/gdc_tcga_stad_sha256.tsv	GDC STAR counts are secondary sensitivity, not the primary TCGA-GTEx matrix.
cbioportal_stad_tcga	cBioPortal TCGA-STAD clinical	TCGA subtype and legacy clinical field availability	Fase 1 metadata complete	metadata_verified	stad_tcga and stad_tcga_pan_can_atlas_2018 API studies	2026-05-28	https://www.cbioportal.org	/api/studies/stad_tcga*/clinical-data	data/raw/cbioportal	PATIENT clinical-data; SUBTYPE from stad_tcga_pan_can_atlas_2018	cBioPortal public API terms; verify before redistribution	data/checksums/cbioportal_sha256.tsv	Used for TCGA molecular subtype counts and legacy histology fields.
hpa_downloads	Human Protein Atlas downloadable TSV	Normal IHC, cancer IHC, subcellular location, tissue RNA cross-checks	Fase 1 metadata complete; Fase 2 downloads	metadata_verified_no_raw_saved	HPA 25.1; Ensembl 109	2026-05-28	https://www.proteinatlas.org/about/download	normal_ihc_data.tsv.zip; cancer_data.tsv.zip; subcellular_location.tsv.zip; rna_tissue_consensus.tsv.zip; rna_tissue_gtex.tsv.zip	data/raw/hpa	https://www.proteinatlas.org/download/tsv/cancer_cptac.tsv.zip; https://www.proteinatlas.org/download/tsv/cancer_data.tsv.zip; https://www.proteinatlas.org/download/tsv/normal_ihc_data.tsv.zip; https://www.proteinatlas.org/download/tsv/rna_tissue_consensus.tsv.zip; https://www.proteinatlas.org/download/tsv/rna_tissue_gtex.tsv.zip; https://www.proteinatlas.org/download/tsv/subcellular_location.tsv.zip	Creative Commons Attribution 4.0 International, with third-party caveats	data/checksums/hpa_sha256.tsv	HPA v25.1 replaces older plan filenames normal_tissue.tsv/pathology.tsv with current normal_ihc_data.tsv/cancer_data.tsv.
uniprot_reviewed_human	UniProtKB reviewed human	Protein identifiers, topology, TM, extracellular domains, signal peptides	Fase 1 metadata complete; Fase 4 ID mapping/topology	metadata_verified	2026_01	2026-05-28	https://rest.uniprot.org/uniprotkb/search	UniProt REST search	data/raw/uniprot	organism_id:9606 AND reviewed:true plus feature-specific queries	UniProt terms; verify at Fase 2 download	data/checksums/uniprot_sha256.tsv	Universe-specific reviewed coverage waits for HGNC/Ensembl/UniProt mapping.
depmap	DepMap Portal Context Explorer	Gastric/GEJ cell-line expression and CRISPR dependency evidence	Fase 1 metadata complete; Fase 11 optional annotation	metadata_verified	DepMap Portal current release; 26Q1 label observed on portal	2026-05-28	https://depmap.org/portal/context_explorer/?context=STOMACH	/portal/api/context_explorer/context_info?level_0_subtype_code=STOMACH	data/raw/depmap	Context Explorer STOMACH; model and modality coverage from table_data	DepMap portal terms; verify at file download	data/checksums/depmap_sha256.tsv	104 Esophagus/Stomach models; EGC subset is the closest adenocarcinoma set.
pdc_cptac_gastric	NCI Proteomic Data Commons gastric/STAD studies	Incremental proteomics, phosphoproteomics, glycoproteomics, and related omics	Fase 1 metadata complete; optional after HPA/scRNA/external RNA	metadata_verified_no_raw_downloaded	PDC GraphQL live query	2026-05-28	https://pdc.cancer.gov	PDC GraphQL study(pdc_study_id)	data/raw/pdc_cptac	PDC000214, PDC000215, PDC000216, PDC000614, PDC000615, PDC000616, PDC000617, PDC000621, PDC000622, PDC000626, PDC000645, PDC000649	PDC open access and study-specific terms; verify before download	data/checksums/pdc_cptac_sha256.tsv	Candidate gene protein coverage remains TBD until Protein Assembly reports are downloaded and mapped.
scrna_gastric_candidates	TISCH2/GEO gastric cancer scRNA candidates	Malignant epithelial vs TME specificity layer	Fase 1 candidate inventory; Fase 8 quality gate	candidate_sources_identified_not_downloaded	GEO/TISCH2 current at access date	2026-05-28	https://tisch.compbio.cn/home/	GSE112302; GSE134520; GSE150290; GSE163558 and recent GC scRNA atlases	data/raw/scrna	Select datasets with malignant epithelial and TME annotations only	Per GEO/TISCH2/source publication	data/checksums/scrna_sha256.tsv	Do not include in main score until annotation quality and processed matrix availability pass gate.
external_bulk_rna_cohorts	GEO/ACRG external gastric expression cohorts	External RNA validation cohort	Fase 1 candidate inventory; Fase 5-7 optional validation	candidate_sources_identified_not_downloaded	GEO current at access date	2026-05-28	https://www.ncbi.nlm.nih.gov/geo/	GSE62254, GSE15459, GSE57303, GSE66229, GSE84437 candidates	data/raw/external_bulk_rna	Prioritize GSE62254/ACRG n=300 and GSE15459 n~200 if processed matrices map cleanly	Per GEO/source publication	data/checksums/external_bulk_rna_sha256.tsv	Layer is incremental; avoid delaying MVP if batch/platform harmonization becomes expensive.
structure_sources	RCSB PDB and AlphaFold DB	Candidate-level ECD/structure annotations	Fase 10 candidate-level optional layer	source_declared_not_assessed	Current APIs at candidate query date	2026-05-28	https://search.rcsb.org/ ; https://alphafold.ebi.ac.uk/	RCSB Search API; AlphaFold DB by UniProt accession	data/raw/pdb; data/raw/alphafold	Query only after final candidate list or top N candidates	Per PDB/AlphaFold source terms	data/checksums/structures_sha256.tsv	Not needed before scoring; used for candidate cards and modality discussion.
clinical_druggability_sources	Open Targets, ChEMBL, DGIdb, ClinicalTrials.gov	Clinical/druggability annotations	Fase 12 candidate-level annotation	source_declared_not_assessed	Current APIs at candidate query date	2026-05-28	https://platform.opentargets.org/ ; https://www.ebi.ac.uk/chembl/ ; https://www.clinicaltrials.gov/	Open Targets GraphQL/downloads; ChEMBL API; DGIdb; ClinicalTrials.gov API v2	data/raw/clinical_druggability	Candidate-level target/drug/trial queries after ranking	Per source	data/checksums/clinical_druggability_sha256.tsv	Used for candidate cards and tiering context, not to inflate discovery score.
