source_id	source_identifier	attempted_identifier_type	failure_type	severity	resolved_hgnc_symbol	action_required	notes
special_case_policy	CLDN18	target_interpretation	CLDN18.2_isoform_unresolved_gene_level_only	flag	CLDN18	Preserve flag during ranking and candidate interpretation.	CLDN18.2 clinical target cannot be claimed from gene-level CLDN18 without transcript/isoform evidence.
special_case_policy	ERBB2	target_interpretation	gene_level_acceptable_amplification_and_protein_evidence_required_downstream	flag	ERBB2	Preserve flag during ranking and candidate interpretation.	ERBB2 gene-level mapping is acceptable; amplification/protein evidence must be registered downstream.
special_case_policy	FGFR2	target_interpretation	FGFR2b_isoform_unresolved_gene_level_only	flag	FGFR2	Preserve flag during ranking and candidate interpretation.	FGFR2b/IIIb context must be separated from other FGFR2 isoforms when evidence becomes available.
special_case_policy	HLA-A	target_interpretation	hla_nonconventional_target_requires_specific_modality	flag	HLA-A	Preserve flag during ranking and candidate interpretation.	HLA genes should not be ranked as conventional surface targets without modality-specific rationale.
special_case_policy	HLA-B	target_interpretation	hla_nonconventional_target_requires_specific_modality	flag	HLA-B	Preserve flag during ranking and candidate interpretation.	HLA genes should not be ranked as conventional surface targets without modality-specific rationale.
special_case_policy	HLA-C	target_interpretation	hla_nonconventional_target_requires_specific_modality	flag	HLA-C	Preserve flag during ranking and candidate interpretation.	HLA genes should not be ranked as conventional surface targets without modality-specific rationale.
special_case_policy	HLA-DMA	target_interpretation	hla_nonconventional_target_requires_specific_modality	flag	HLA-DMA	Preserve flag during ranking and candidate interpretation.	HLA genes should not be ranked as conventional surface targets without modality-specific rationale.
special_case_policy	HLA-DMB	target_interpretation	hla_nonconventional_target_requires_specific_modality	flag	HLA-DMB	Preserve flag during ranking and candidate interpretation.	HLA genes should not be ranked as conventional surface targets without modality-specific rationale.
special_case_policy	HLA-DOA	target_interpretation	hla_nonconventional_target_requires_specific_modality	flag	HLA-DOA	Preserve flag during ranking and candidate interpretation.	HLA genes should not be ranked as conventional surface targets without modality-specific rationale.
special_case_policy	HLA-DOB	target_interpretation	hla_nonconventional_target_requires_specific_modality	flag	HLA-DOB	Preserve flag during ranking and candidate interpretation.	HLA genes should not be ranked as conventional surface targets without modality-specific rationale.
special_case_policy	HLA-DPA1	target_interpretation	hla_nonconventional_target_requires_specific_modality	flag	HLA-DPA1	Preserve flag during ranking and candidate interpretation.	HLA genes should not be ranked as conventional surface targets without modality-specific rationale.
special_case_policy	HLA-DPB1	target_interpretation	hla_nonconventional_target_requires_specific_modality	flag	HLA-DPB1	Preserve flag during ranking and candidate interpretation.	HLA genes should not be ranked as conventional surface targets without modality-specific rationale.
special_case_policy	HLA-DQA1	target_interpretation	hla_nonconventional_target_requires_specific_modality	flag	HLA-DQA1	Preserve flag during ranking and candidate interpretation.	HLA genes should not be ranked as conventional surface targets without modality-specific rationale.
special_case_policy	HLA-DQA2	target_interpretation	hla_nonconventional_target_requires_specific_modality	flag	HLA-DQA2	Preserve flag during ranking and candidate interpretation.	HLA genes should not be ranked as conventional surface targets without modality-specific rationale.
special_case_policy	HLA-DQB1	target_interpretation	hla_nonconventional_target_requires_specific_modality	flag	HLA-DQB1	Preserve flag during ranking and candidate interpretation.	HLA genes should not be ranked as conventional surface targets without modality-specific rationale.
special_case_policy	HLA-DQB2	target_interpretation	hla_nonconventional_target_requires_specific_modality	flag	HLA-DQB2	Preserve flag during ranking and candidate interpretation.	HLA genes should not be ranked as conventional surface targets without modality-specific rationale.
special_case_policy	HLA-DRA	target_interpretation	hla_nonconventional_target_requires_specific_modality	flag	HLA-DRA	Preserve flag during ranking and candidate interpretation.	HLA genes should not be ranked as conventional surface targets without modality-specific rationale.
special_case_policy	HLA-DRB1	target_interpretation	hla_nonconventional_target_requires_specific_modality	flag	HLA-DRB1	Preserve flag during ranking and candidate interpretation.	HLA genes should not be ranked as conventional surface targets without modality-specific rationale.
special_case_policy	HLA-DRB3	target_interpretation	hla_nonconventional_target_requires_specific_modality	flag	HLA-DRB3	Preserve flag during ranking and candidate interpretation.	HLA genes should not be ranked as conventional surface targets without modality-specific rationale.
special_case_policy	HLA-DRB4	target_interpretation	hla_nonconventional_target_requires_specific_modality	flag	HLA-DRB4	Preserve flag during ranking and candidate interpretation.	HLA genes should not be ranked as conventional surface targets without modality-specific rationale.
special_case_policy	HLA-DRB5	target_interpretation	hla_nonconventional_target_requires_specific_modality	flag	HLA-DRB5	Preserve flag during ranking and candidate interpretation.	HLA genes should not be ranked as conventional surface targets without modality-specific rationale.
special_case_policy	HLA-E	target_interpretation	hla_nonconventional_target_requires_specific_modality	flag	HLA-E	Preserve flag during ranking and candidate interpretation.	HLA genes should not be ranked as conventional surface targets without modality-specific rationale.
special_case_policy	HLA-F	target_interpretation	hla_nonconventional_target_requires_specific_modality	flag	HLA-F	Preserve flag during ranking and candidate interpretation.	HLA genes should not be ranked as conventional surface targets without modality-specific rationale.
special_case_policy	HLA-G	target_interpretation	hla_nonconventional_target_requires_specific_modality	flag	HLA-G	Preserve flag during ranking and candidate interpretation.	HLA genes should not be ranked as conventional surface targets without modality-specific rationale.
special_case_policy	MUC1	target_interpretation	mucin_alias_repeat_region_review_required	flag	MUC1	Preserve flag during ranking and candidate interpretation.	Mucin genes need careful alias and repeat-region interpretation.
special_case_policy	MUC12	target_interpretation	mucin_alias_repeat_region_review_required	flag	MUC12	Preserve flag during ranking and candidate interpretation.	Mucin genes need careful alias and repeat-region interpretation.
special_case_policy	MUC13	target_interpretation	mucin_alias_repeat_region_review_required	flag	MUC13	Preserve flag during ranking and candidate interpretation.	Mucin genes need careful alias and repeat-region interpretation.
special_case_policy	MUC15	target_interpretation	mucin_alias_repeat_region_review_required	flag	MUC15	Preserve flag during ranking and candidate interpretation.	Mucin genes need careful alias and repeat-region interpretation.
special_case_policy	MUC16	target_interpretation	mucin_alias_repeat_region_review_required	flag	MUC16	Preserve flag during ranking and candidate interpretation.	Mucin genes need careful alias and repeat-region interpretation.
special_case_policy	MUC17	target_interpretation	mucin_alias_repeat_region_review_required	flag	MUC17	Preserve flag during ranking and candidate interpretation.	Mucin genes need careful alias and repeat-region interpretation.
special_case_policy	MUC19	target_interpretation	mucin_alias_repeat_region_review_required	flag	MUC19	Preserve flag during ranking and candidate interpretation.	Mucin genes need careful alias and repeat-region interpretation.
special_case_policy	MUC2	target_interpretation	mucin_alias_repeat_region_review_required	flag	MUC2	Preserve flag during ranking and candidate interpretation.	Mucin genes need careful alias and repeat-region interpretation.
special_case_policy	MUC20	target_interpretation	mucin_alias_repeat_region_review_required	flag	MUC20	Preserve flag during ranking and candidate interpretation.	Mucin genes need careful alias and repeat-region interpretation.
special_case_policy	MUC21	target_interpretation	mucin_alias_repeat_region_review_required	flag	MUC21	Preserve flag during ranking and candidate interpretation.	Mucin genes need careful alias and repeat-region interpretation.
special_case_policy	MUC22	target_interpretation	mucin_alias_repeat_region_review_required	flag	MUC22	Preserve flag during ranking and candidate interpretation.	Mucin genes need careful alias and repeat-region interpretation.
special_case_policy	MUC3A	target_interpretation	mucin_alias_repeat_region_review_required	flag	MUC3A	Preserve flag during ranking and candidate interpretation.	Mucin genes need careful alias and repeat-region interpretation.
special_case_policy	MUC3B	target_interpretation	mucin_alias_repeat_region_review_required	flag	MUC3B	Preserve flag during ranking and candidate interpretation.	Mucin genes need careful alias and repeat-region interpretation.
special_case_policy	MUC4	target_interpretation	mucin_alias_repeat_region_review_required	flag	MUC4	Preserve flag during ranking and candidate interpretation.	Mucin genes need careful alias and repeat-region interpretation.
special_case_policy	MUC5AC	target_interpretation	mucin_alias_repeat_region_review_required	flag	MUC5AC	Preserve flag during ranking and candidate interpretation.	Mucin genes need careful alias and repeat-region interpretation.
special_case_policy	MUC5B	target_interpretation	mucin_alias_repeat_region_review_required	flag	MUC5B	Preserve flag during ranking and candidate interpretation.	Mucin genes need careful alias and repeat-region interpretation.
special_case_policy	MUC6	target_interpretation	mucin_alias_repeat_region_review_required	flag	MUC6	Preserve flag during ranking and candidate interpretation.	Mucin genes need careful alias and repeat-region interpretation.
special_case_policy	MUC7	target_interpretation	mucin_alias_repeat_region_review_required	flag	MUC7	Preserve flag during ranking and candidate interpretation.	Mucin genes need careful alias and repeat-region interpretation.
special_case_policy	MUC8	target_interpretation	mucin_alias_repeat_region_review_required	flag	MUC8	Preserve flag during ranking and candidate interpretation.	Mucin genes need careful alias and repeat-region interpretation.
special_case_policy	MUCL1	target_interpretation	mucin_alias_repeat_region_review_required	flag	MUCL1	Preserve flag during ranking and candidate interpretation.	Mucin genes need careful alias and repeat-region interpretation.
special_case_policy	MUCL3	target_interpretation	mucin_alias_repeat_region_review_required	flag	MUCL3	Preserve flag during ranking and candidate interpretation.	Mucin genes need careful alias and repeat-region interpretation.
id_map_master	ACAT1	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	ACAT1	Review before final candidate card if this gene enters top rankings.	
id_map_master	ACAT2	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	ACAT2	Review before final candidate card if this gene enters top rankings.	
id_map_master	ADAM23	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	ADAM23	Review before final candidate card if this gene enters top rankings.	
id_map_master	ADRA1A	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	ADRA1A	Review before final candidate card if this gene enters top rankings.	
id_map_master	AIP	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	AIP	Review before final candidate card if this gene enters top rankings.	
id_map_master	AK3	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	AK3	Review before final candidate card if this gene enters top rankings.	
id_map_master	AK6	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	AK6	Review before final candidate card if this gene enters top rankings.	
id_map_master	AKAP7	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	AKAP7	Review before final candidate card if this gene enters top rankings.	
id_map_master	ALB	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	ALB	Review before final candidate card if this gene enters top rankings.	
id_map_master	ALG2	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	ALG2	Review before final candidate card if this gene enters top rankings.	
id_map_master	APC2	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	APC2	Review before final candidate card if this gene enters top rankings.	
id_map_master	APOBEC3A_B	HGNC approved protein-coding gene	missing_reviewed_uniprot_accession	warning	APOBEC3A_B	Review before final candidate card if this gene enters top rankings.	
id_map_master	APOLTP	HGNC approved protein-coding gene	missing_reviewed_uniprot_accession	warning	APOLTP	Review before final candidate card if this gene enters top rankings.	
id_map_master	APPL2	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	APPL2	Review before final candidate card if this gene enters top rankings.	
id_map_master	AQP9	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	AQP9	Review before final candidate card if this gene enters top rankings.	
id_map_master	ARC	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	ARC	Review before final candidate card if this gene enters top rankings.	
id_map_master	ARFGAP1	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	ARFGAP1	Review before final candidate card if this gene enters top rankings.	
id_map_master	ARHGAP10	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	ARHGAP10	Review before final candidate card if this gene enters top rankings.	
id_map_master	ARSA	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	ARSA	Review before final candidate card if this gene enters top rankings.	
id_map_master	ART4	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	ART4	Review before final candidate card if this gene enters top rankings.	
id_map_master	ATP2B2	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	ATP2B2	Review before final candidate card if this gene enters top rankings.	
id_map_master	ATR	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	ATR	Review before final candidate card if this gene enters top rankings.	
id_map_master	B3GNT6	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	B3GNT6	Review before final candidate card if this gene enters top rankings.	
id_map_master	B3GNT8	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	B3GNT8	Review before final candidate card if this gene enters top rankings.	
id_map_master	BACH1	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	BACH1	Review before final candidate card if this gene enters top rankings.	
id_map_master	BAGE	HGNC approved protein-coding gene	missing_hgnc_ensembl_gene_id	warning	BAGE	Review before final candidate card if this gene enters top rankings.	
id_map_master	BAGE3	HGNC approved protein-coding gene	missing_hgnc_ensembl_gene_id	warning	BAGE3	Review before final candidate card if this gene enters top rankings.	
id_map_master	BAGE4	HGNC approved protein-coding gene	missing_hgnc_ensembl_gene_id	warning	BAGE4	Review before final candidate card if this gene enters top rankings.	
id_map_master	BAGE5	HGNC approved protein-coding gene	missing_hgnc_ensembl_gene_id	warning	BAGE5	Review before final candidate card if this gene enters top rankings.	
id_map_master	BAP1	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	BAP1	Review before final candidate card if this gene enters top rankings.	
id_map_master	BBC3	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	BBC3	Review before final candidate card if this gene enters top rankings.	
id_map_master	BDP1	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	BDP1	Review before final candidate card if this gene enters top rankings.	
id_map_master	BLACAT1	HGNC approved protein-coding gene	missing_reviewed_uniprot_accession	warning	BLACAT1	Review before final candidate card if this gene enters top rankings.	
id_map_master	BRAP	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	BRAP	Review before final candidate card if this gene enters top rankings.	
id_map_master	BRF1	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	BRF1	Review before final candidate card if this gene enters top rankings.	
id_map_master	BRI3	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	BRI3	Review before final candidate card if this gene enters top rankings.	
id_map_master	BRIP1	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	BRIP1	Review before final candidate card if this gene enters top rankings.	
id_map_master	BTF3	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	BTF3	Review before final candidate card if this gene enters top rankings.	
id_map_master	C10orf126	HGNC approved protein-coding gene	missing_hgnc_ensembl_gene_id	warning	C10orf126	Review before final candidate card if this gene enters top rankings.	
id_map_master	C4A_2	HGNC approved protein-coding gene	missing_reviewed_uniprot_accession	warning	C4A_2	Review before final candidate card if this gene enters top rankings.	
id_map_master	C8orf76	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	C8orf76	Review before final candidate card if this gene enters top rankings.	
id_map_master	CA11	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	CA11	Review before final candidate card if this gene enters top rankings.	
id_map_master	CA5B	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	CA5B	Review before final candidate card if this gene enters top rankings.	
id_map_master	CACNG6	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	CACNG6	Review before final candidate card if this gene enters top rankings.	
id_map_master	CAD	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	CAD	Review before final candidate card if this gene enters top rankings.	
id_map_master	CALCA	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	CALCA	Review before final candidate card if this gene enters top rankings.	
id_map_master	CAMP	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	CAMP	Review before final candidate card if this gene enters top rankings.	
id_map_master	CAPG	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	CAPG	Review before final candidate card if this gene enters top rankings.	
id_map_master	CAPS	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	CAPS	Review before final candidate card if this gene enters top rankings.	
id_map_master	CAPS2	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	CAPS2	Review before final candidate card if this gene enters top rankings.	
id_map_master	CARF	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	CARF	Review before final candidate card if this gene enters top rankings.	
id_map_master	CASK	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	CASK	Review before final candidate card if this gene enters top rankings.	
id_map_master	CAST	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	CAST	Review before final candidate card if this gene enters top rankings.	
id_map_master	CAT	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	CAT	Review before final candidate card if this gene enters top rankings.	
id_map_master	CCN1	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	CCN1	Review before final candidate card if this gene enters top rankings.	
id_map_master	CCNL1	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	CCNL1	Review before final candidate card if this gene enters top rankings.	
id_map_master	CCR10	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	CCR10	Review before final candidate card if this gene enters top rankings.	
id_map_master	CCR4	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	CCR4	Review before final candidate card if this gene enters top rankings.	
id_map_master	CCR6	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	CCR6	Review before final candidate card if this gene enters top rankings.	
id_map_master	CDH1	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	CDH1	Review before final candidate card if this gene enters top rankings.	
id_map_master	CDH19	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	CDH19	Review before final candidate card if this gene enters top rankings.	
id_map_master	CDH20	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	CDH20	Review before final candidate card if this gene enters top rankings.	
id_map_master	CDH3	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	CDH3	Review before final candidate card if this gene enters top rankings.	
id_map_master	CDKN2A	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	CDKN2A	Review before final candidate card if this gene enters top rankings.	
id_map_master	CDKN3	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	CDKN3	Review before final candidate card if this gene enters top rankings.	
id_map_master	CDS1	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	CDS1	Review before final candidate card if this gene enters top rankings.	
id_map_master	CDS2	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	CDS2	Review before final candidate card if this gene enters top rankings.	
id_map_master	CEP68	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	CEP68	Review before final candidate card if this gene enters top rankings.	
id_map_master	CES1	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	CES1	Review before final candidate card if this gene enters top rankings.	
id_map_master	CES2	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	CES2	Review before final candidate card if this gene enters top rankings.	
id_map_master	CHD5	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	CHD5	Review before final candidate card if this gene enters top rankings.	
id_map_master	CHL1	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	CHL1	Review before final candidate card if this gene enters top rankings.	
id_map_master	CHP1	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	CHP1	Review before final candidate card if this gene enters top rankings.	
id_map_master	CHSY3	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	CHSY3	Review before final candidate card if this gene enters top rankings.	
id_map_master	CKLF	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	CKLF	Review before final candidate card if this gene enters top rankings.	
id_map_master	CLC	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	CLC	Review before final candidate card if this gene enters top rankings.	
id_map_master	CLP1	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	CLP1	Review before final candidate card if this gene enters top rankings.	
id_map_master	CNTNAP3C	HGNC approved protein-coding gene	missing_reviewed_uniprot_accession	warning	CNTNAP3C	Review before final candidate card if this gene enters top rankings.	
id_map_master	COP1	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	COP1	Review before final candidate card if this gene enters top rankings.	
id_map_master	CPA3	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	CPA3	Review before final candidate card if this gene enters top rankings.	
id_map_master	CPN1	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	CPN1	Review before final candidate card if this gene enters top rankings.	
id_map_master	CPO	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	CPO	Review before final candidate card if this gene enters top rankings.	
id_map_master	CSN2	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	CSN2	Review before final candidate card if this gene enters top rankings.	
id_map_master	CSN3	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	CSN3	Review before final candidate card if this gene enters top rankings.	
id_map_master	CST6	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	CST6	Review before final candidate card if this gene enters top rankings.	
id_map_master	CTAGE1	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	CTAGE1	Review before final candidate card if this gene enters top rankings.	
id_map_master	CTH	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	CTH	Review before final candidate card if this gene enters top rankings.	
id_map_master	CTSO	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	CTSO	Review before final candidate card if this gene enters top rankings.	
id_map_master	CUX1	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	CUX1	Review before final candidate card if this gene enters top rankings.	
id_map_master	DAO	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	DAO	Review before final candidate card if this gene enters top rankings.	
id_map_master	DAP	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	DAP	Review before final candidate card if this gene enters top rankings.	
id_map_master	DAP3	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	DAP3	Review before final candidate card if this gene enters top rankings.	
id_map_master	DDIT3	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	DDIT3	Review before final candidate card if this gene enters top rankings.	
id_map_master	DDX11L13	HGNC approved protein-coding gene	missing_hgnc_ensembl_gene_id|missing_reviewed_uniprot_accession	warning	DDX11L13	Review before final candidate card if this gene enters top rankings.	
id_map_master	DDX21	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	DDX21	Review before final candidate card if this gene enters top rankings.	
id_map_master	DEF6	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	DEF6	Review before final candidate card if this gene enters top rankings.	
id_map_master	DLC1	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	DLC1	Review before final candidate card if this gene enters top rankings.	
id_map_master	DLG2	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	DLG2	Review before final candidate card if this gene enters top rankings.	
id_map_master	DLG3	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	DLG3	Review before final candidate card if this gene enters top rankings.	
id_map_master	DLG4	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	DLG4	Review before final candidate card if this gene enters top rankings.	
id_map_master	DMC1	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	DMC1	Review before final candidate card if this gene enters top rankings.	
id_map_master	DMP1	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	DMP1	Review before final candidate card if this gene enters top rankings.	
id_map_master	DOK1	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	DOK1	Review before final candidate card if this gene enters top rankings.	
id_map_master	DRC1	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	DRC1	Review before final candidate card if this gene enters top rankings.	
id_map_master	DRC3	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	DRC3	Review before final candidate card if this gene enters top rankings.	
id_map_master	DRG1	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	DRG1	Review before final candidate card if this gene enters top rankings.	
id_map_master	DSC1	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	DSC1	Review before final candidate card if this gene enters top rankings.	
id_map_master	DSC3	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	DSC3	Review before final candidate card if this gene enters top rankings.	
id_map_master	DUX1	HGNC approved protein-coding gene	missing_hgnc_ensembl_gene_id	warning	DUX1	Review before final candidate card if this gene enters top rankings.	
id_map_master	DUX3	HGNC approved protein-coding gene	missing_hgnc_ensembl_gene_id	warning	DUX3	Review before final candidate card if this gene enters top rankings.	
id_map_master	DUX5	HGNC approved protein-coding gene	missing_hgnc_ensembl_gene_id	warning	DUX5	Review before final candidate card if this gene enters top rankings.	
id_map_master	DVL1	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	DVL1	Review before final candidate card if this gene enters top rankings.	
id_map_master	EHD2	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	EHD2	Review before final candidate card if this gene enters top rankings.	
id_map_master	EID3	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	EID3	Review before final candidate card if this gene enters top rankings.	
id_map_master	EIF2A	HGNC approved protein-coding gene	multiple_uniprot_accessions_registered	warning	EIF2A	Review before final candidate card if this gene enters top rankings.	
