rank_v2	gene	tier	scenario_score	surfaceome_category	surfaceome_confidence_score	source_support_n	curated_surfaceome_source_n	database_or_localization_anchor_n	support_sources	source_dependency_class	single_source_dependent	retains_support_after_any_single_source_removal	critical_removed_sources	has_tcsa	has_cspa	has_surfy	has_uniprot_anchor	has_hpa_plasma_membrane	has_go_plasma_membrane	remaining_support_after_removing_tcsa	remaining_support_after_removing_cspa	remaining_support_after_removing_surfy	remaining_support_after_removing_uniprot_anchor	remaining_support_after_removing_hpa_plasma_membrane	remaining_support_after_removing_go_plasma_membrane	surface_support_sources_original	interpretation
1	ITGB4	Tier 1	0.626035	core_surfaceome	8	6	3	3	tcsa;cspa;surfy;uniprot_anchor;hpa_plasma_membrane;go_plasma_membrane	source_diverse_curated_plus_anchor	false	true		true	true	true	true	true	true	5	5	5	5	5	5	tcsa|cspa|surfy|uniprot_extracellular_topology|go_surface_or_plasma_membrane|hpa_plasma_membrane	Curated-list support is corroborated by at least one independent database/localization anchor.
6	CDH3	Tier 1	0.608164	core_surfaceome	8	6	3	3	tcsa;cspa;surfy;uniprot_anchor;hpa_plasma_membrane;go_plasma_membrane	source_diverse_curated_plus_anchor	false	true		true	true	true	true	true	true	5	5	5	5	5	5	tcsa|cspa|surfy|uniprot_extracellular_topology|go_surface_or_plasma_membrane|hpa_plasma_membrane	Curated-list support is corroborated by at least one independent database/localization anchor.
7	MPZL1	Tier 2	0.605739	core_surfaceome	8	6	3	3	tcsa;cspa;surfy;uniprot_anchor;hpa_plasma_membrane;go_plasma_membrane	source_diverse_curated_plus_anchor	false	true		true	true	true	true	true	true	5	5	5	5	5	5	tcsa|cspa|surfy|uniprot_extracellular_topology|go_surface_or_plasma_membrane|hpa_plasma_membrane	Curated-list support is corroborated by at least one independent database/localization anchor.
8	ITGB5	Tier 2	0.595199	core_surfaceome	8	6	3	3	tcsa;cspa;surfy;uniprot_anchor;hpa_plasma_membrane;go_plasma_membrane	source_diverse_curated_plus_anchor	false	true		true	true	true	true	true	true	5	5	5	5	5	5	tcsa|cspa|surfy|uniprot_extracellular_topology|go_surface_or_plasma_membrane|hpa_plasma_membrane	Curated-list support is corroborated by at least one independent database/localization anchor.
9	NECTIN2	Tier 1	0.588737	core_surfaceome	8	6	3	3	tcsa;cspa;surfy;uniprot_anchor;hpa_plasma_membrane;go_plasma_membrane	source_diverse_curated_plus_anchor	false	true		true	true	true	true	true	true	5	5	5	5	5	5	tcsa|cspa|surfy|uniprot_extracellular_topology|go_surface_or_plasma_membrane|hpa_plasma_membrane	Curated-list support is corroborated by at least one independent database/localization anchor.
10	BST2	Tier 2	0.586798	core_surfaceome	9	5	3	2	tcsa;cspa;surfy;uniprot_anchor;go_plasma_membrane	source_diverse_curated_plus_anchor	false	true		true	true	true	true	false	true	4	4	4	4	5	4	tcsa|cspa|surfy|uniprot_extracellular_topology|uniprot_gpi_anchor|go_surface_or_plasma_membrane	Curated-list support is corroborated by at least one independent database/localization anchor.
11	IFNGR1	Tier 2	0.585684	core_surfaceome	8	6	3	3	tcsa;cspa;surfy;uniprot_anchor;hpa_plasma_membrane;go_plasma_membrane	source_diverse_curated_plus_anchor	false	true		true	true	true	true	true	true	5	5	5	5	5	5	tcsa|cspa|surfy|uniprot_extracellular_topology|go_surface_or_plasma_membrane|hpa_plasma_membrane	Curated-list support is corroborated by at least one independent database/localization anchor.
12	CEACAM5	Tier 1	0.584828	core_surfaceome	8	5	2	3	tcsa;surfy;uniprot_anchor;hpa_plasma_membrane;go_plasma_membrane	source_diverse_curated_plus_anchor	false	true		true	false	true	true	true	true	4	5	4	4	4	4	tcsa|surfy|uniprot_gpi_anchor|go_surface_or_plasma_membrane|hpa_plasma_membrane	Curated-list support is corroborated by at least one independent database/localization anchor.
13	JAG1	Tier 1	0.584280	core_surfaceome	8	6	3	3	tcsa;cspa;surfy;uniprot_anchor;hpa_plasma_membrane;go_plasma_membrane	source_diverse_curated_plus_anchor	false	true		true	true	true	true	true	true	5	5	5	5	5	5	tcsa|cspa|surfy|uniprot_extracellular_topology|go_surface_or_plasma_membrane|hpa_plasma_membrane	Curated-list support is corroborated by at least one independent database/localization anchor.
14	EPCAM	Tier 1	0.580488	core_surfaceome	8	6	3	3	tcsa;cspa;surfy;uniprot_anchor;hpa_plasma_membrane;go_plasma_membrane	source_diverse_curated_plus_anchor	false	true		true	true	true	true	true	true	5	5	5	5	5	5	tcsa|cspa|surfy|uniprot_extracellular_topology|go_surface_or_plasma_membrane|hpa_plasma_membrane	Curated-list support is corroborated by at least one independent database/localization anchor.
16	ALPG	Tier 2	0.574731	core_surfaceome	8	5	2	3	tcsa;surfy;uniprot_anchor;hpa_plasma_membrane;go_plasma_membrane	source_diverse_curated_plus_anchor	false	true		true	false	true	true	true	true	4	5	4	4	4	4	tcsa|surfy|uniprot_gpi_anchor|go_surface_or_plasma_membrane|hpa_plasma_membrane	Curated-list support is corroborated by at least one independent database/localization anchor.
18	DSC2	Tier 2	0.573364	core_surfaceome	8	6	3	3	tcsa;cspa;surfy;uniprot_anchor;hpa_plasma_membrane;go_plasma_membrane	source_diverse_curated_plus_anchor	false	true		true	true	true	true	true	true	5	5	5	5	5	5	tcsa|cspa|surfy|uniprot_extracellular_topology|go_surface_or_plasma_membrane|hpa_plasma_membrane	Curated-list support is corroborated by at least one independent database/localization anchor.
19	TNFRSF11A	Tier 2	0.572773	core_surfaceome	8	6	3	3	tcsa;cspa;surfy;uniprot_anchor;hpa_plasma_membrane;go_plasma_membrane	source_diverse_curated_plus_anchor	false	true		true	true	true	true	true	true	5	5	5	5	5	5	tcsa|cspa|surfy|uniprot_extracellular_topology|go_surface_or_plasma_membrane|hpa_plasma_membrane	Curated-list support is corroborated by at least one independent database/localization anchor.
20	ERBB2	Tier 2	0.568251	core_surfaceome	8	6	3	3	tcsa;cspa;surfy;uniprot_anchor;hpa_plasma_membrane;go_plasma_membrane	source_diverse_curated_plus_anchor	false	true		true	true	true	true	true	true	5	5	5	5	5	5	tcsa|cspa|surfy|uniprot_extracellular_topology|go_surface_or_plasma_membrane|hpa_plasma_membrane	Curated-list support is corroborated by at least one independent database/localization anchor.
25	CD9	Tier 2	0.560111	core_surfaceome	8	5	2	3	tcsa;surfy;uniprot_anchor;hpa_plasma_membrane;go_plasma_membrane	source_diverse_curated_plus_anchor	false	true		true	false	true	true	true	true	4	5	4	4	4	4	tcsa|surfy|uniprot_extracellular_topology|go_surface_or_plasma_membrane|hpa_plasma_membrane	Curated-list support is corroborated by at least one independent database/localization anchor.
26	LSR	Tier 2	0.559871	core_surfaceome	7	4	1	3	tcsa;uniprot_anchor;hpa_plasma_membrane;go_plasma_membrane	source_diverse_curated_plus_anchor	false	true		true	false	false	true	true	true	3	4	4	3	3	3	tcsa|uniprot_extracellular_topology|go_surface_or_plasma_membrane|hpa_plasma_membrane	Curated-list support is corroborated by at least one independent database/localization anchor.
28	CDH17	Tier 2	0.557068	core_surfaceome	7	5	3	2	tcsa;cspa;surfy;uniprot_anchor;go_plasma_membrane	source_diverse_curated_plus_anchor	false	true		true	true	true	true	false	true	4	4	4	4	5	4	tcsa|cspa|surfy|uniprot_extracellular_topology|go_surface_or_plasma_membrane	Curated-list support is corroborated by at least one independent database/localization anchor.
30	TGFBR1	Tier 2	0.553247	core_surfaceome	8	5	2	3	tcsa;surfy;uniprot_anchor;hpa_plasma_membrane;go_plasma_membrane	source_diverse_curated_plus_anchor	false	true		true	false	true	true	true	true	4	5	4	4	4	4	tcsa|surfy|uniprot_extracellular_topology|go_surface_or_plasma_membrane|hpa_plasma_membrane	Curated-list support is corroborated by at least one independent database/localization anchor.
